id,Name,ModelNumber,Price,Quantity,WarrantyStatus,DescriptionExtra,DescriptionMain,DiscountedPrice,DistributorId,Category
1,Savana 2500,2001,18831,37,10 Year,Profound,Implemented local challenge,1952,4,Luxury
2,Aerostar,1987,72714,91,No,moratorium,Switchable zero tolerance strategy,2300,9,SUV
3,SSR,2005,13908,42,Yes,Advanced,Persistent user-facing monitoring,183,3,Luxury
4,Marauder,2003,50862,30,5 Year,conglomeration,Future-proofed stable adapter,18,1,Luxury
5,Lancer,2001,75118,39,Yes,pricing structure,Synergized contextually-based conglomeration,3375,4,SUV
6,Alliance,1983,29763,60,3 Year,Devolved,Multi-lateral dedicated function,684,8,SUV
7,Continental Mark VII,1988,58869,53,5 Year,Compatible,Reduced even-keeled forecast,3260,5,Sedan
8,Equinox,2012,92020,35,5 Year,neural-net,Implemented upward-trending productivity,2510,4,Sedan
9,Sonata,1997,53952,60,10 Year,reciprocal,Triple-buffered maximized focus group,2007,1,Sports
10,Seville,1995,47133,67,Yes,solution-oriented,Switchable bi-directional hardware,49,1,SUV
11,Previa,1991,92670,92,No,Devolved,Fully-configurable logistical standardization,2782,6,Family
12,Impala,2011,76289,5,Yes,Face to face,Future-proofed discrete hardware,3044,9,Sports
13,Suburban 2500,1994,68659,42,Yes,software,Exclusive encompassing solution,2059,4,Sports
14,MKS,2010,33231,61,No,exuding,Programmable even-keeled workforce,1060,10,Sports
15,Tacoma,2010,25979,53,10 Year,Open-architected,Team-oriented foreground Graphical User Interface,126,5,Family
16,Vitara,2003,39870,37,No,24 hour,Switchable discrete analyzer,3024,1,Luxury
17,Savana,2008,45554,51,Yes,Phased,Innovative human-resource architecture,4964,5,Family
18,Camry,2011,63143,100,5 Year,complexity,Adaptive background matrix,1191,8,Sports
19,Club Wagon,1996,89991,61,Yes,impactful,Digitized contextually-based policy,1281,2,Sports
20,Sienna,1999,89257,32,3 Year,incremental,Seamless 24/7 installation,2377,6,Family
21,Electra,1987,79714,19,No,Future-proofed,Enterprise-wide content-based budgetary management,4748,9,Sedan
22,Corsica,1993,98168,99,3 Year,support,Synergized dedicated info-mediaries,141,10,SUV
23,C-Class,2002,43153,1,10 Year,flexibility,Cross-platform actuating collaboration,2827,5,Family
24,SL-Class,2009,78383,32,10 Year,discrete,Cross-platform national paradigm,1988,7,Family
25,Fifth Ave,1992,51043,5,3 Year,structure,Multi-layered secondary hierarchy,3089,2,Sports
26,Miata MX-5,1996,59438,12,3 Year,high-level,Re-engineered systemic methodology,2101,1,Sedan
27,S40,2007,16891,94,3 Year,optimizing,Optional bifurcated groupware,3888,2,Family
28,Z4,2003,77626,19,No,Enterprise-wide,Reactive 5th generation neural-net,4496,1,SUV
29,Endeavor,2011,19044,82,5 Year,attitude-oriented,Open-architected cohesive secured line,3991,2,Family
