id,Name,ModelNumber,Price,Quantity,WarrantyStatus,DescriptionExtra,DescriptionMain,DiscountedPrice,DistributorId,Category
1,Savana 2500,2001,18831,40785,10 Year,Profound,Implemented local challenge,1952,4,Luxury
2,Aerostar,1987,72714,14079,No,moratorium,Switchable zero tolerance strategy,2300,9,SUV
3,SSR,2005,13908,49187,Yes,Advanced,Persistent user-facing monitoring,183,3,Luxury
4,Marauder,2003,50862,57088,5 Year,conglomeration,Future-proofed stable adapter,18,1,Luxury
5,Lancer,2001,75118,19919,Yes,pricing structure,Synergized contextually-based conglomeration,3375,4,SUV
6,Alliance,1983,29763,39244,3 Year,Devolved,Multi-lateral dedicated function,684,8,SUV
7,Continental Mark VII,1988,58869,63005,5 Year,Compatible,Reduced even-keeled forecast,3260,5,Sedan
8,Equinox,2012,92020,89131,5 Year,neural-net,Implemented upward-trending productivity,2510,4,Sedan
9,Sonata,1997,53952,59660,10 Year,reciprocal,Triple-buffered maximized focus group,2007,1,Sports
10,Seville,1995,47133,15564,Yes,solution-oriented,Switchable bi-directional hardware,49,1,SUV
11,Previa,1991,92670,94138,No,Devolved,Fully-configurable logistical standardization,2782,6,Family
12,Impala,2011,76289,8113,Yes,Face to face,Future-proofed discrete hardware,3044,9,Sports
13,Suburban 2500,1994,68659,22508,Yes,software,Exclusive encompassing solution,2059,4,Sports
14,MKS,2010,33231,88069,No,exuding,Programmable even-keeled workforce,1060,10,Sports
15,Tacoma,2010,25979,33819,10 Year,Open-architected,Team-oriented foreground Graphical User Interface,126,5,Family
16,Vitara,2003,39870,13400,No,24 hour,Switchable discrete analyzer,3024,1,Luxury
17,Savana,2008,45554,73545,Yes,Phased,Innovative human-resource architecture,4964,5,Family
18,Camry,2011,63143,33528,5 Year,complexity,Adaptive background matrix,1191,8,Sports
19,Club Wagon,1996,89991,68940,Yes,impactful,Digitized contextually-based policy,1281,2,Sports
20,Sienna,1999,89257,88247,3 Year,incremental,Seamless 24/7 installation,2377,6,Family
21,Electra,1987,79714,55082,No,Future-proofed,Enterprise-wide content-based budgetary management,4748,9,Sedan
22,Corsica,1993,98168,55739,3 Year,support,Synergized dedicated info-mediaries,141,10,SUV
23,C-Class,2002,43153,75822,10 Year,flexibility,Cross-platform actuating collaboration,2827,5,Family
24,SL-Class,2009,78383,34618,10 Year,discrete,Cross-platform national paradigm,1988,7,Family
25,Fifth Ave,1992,51043,41966,3 Year,structure,Multi-layered secondary hierarchy,3089,2,Sports
26,Miata MX-5,1996,59438,91885,3 Year,high-level,Re-engineered systemic methodology,2101,1,Sedan
27,S40,2007,16891,97589,3 Year,optimizing,Optional bifurcated groupware,3888,2,Family
28,Z4,2003,77626,29414,No,Enterprise-wide,Reactive 5th generation neural-net,4496,1,SUV
29,Endeavor,2011,19044,12646,5 Year,attitude-oriented,Open-architected cohesive secured line,3991,2,Family
30,F-Series,2009,84425,82387,5 Year,Enhanced,Advanced even-keeled firmware,1481,7,Sports
31,Continental,1985,66422,69155,3 Year,Cloned,Programmable homogeneous complexity,2943,1,Luxury
32,Expedition,1998,96060,55278,5 Year,Organized,Reverse-engineered well-modulated strategy,530,9,Luxury
33,Probe,1991,41712,23948,10 Year,foreground,Down-sized client-driven flexibility,4097,4,SUV
34,Navigator L,2011,58235,95609,5 Year,matrix,Function-based global knowledge base,4259,9,Luxury
35,C-Class,2003,13545,38537,Yes,Upgradable,Fundamental even-keeled success,2051,4,SUV
36,XK Series,1997,69772,83460,3 Year,superstructure,Fundamental value-added migration,673,9,Family
37,Viper RT/10,1995,82483,6785,3 Year,tangible,Triple-buffered global local area network,1164,9,Luxury
38,L300,1987,77259,95903,10 Year,Organized,Multi-channelled even-keeled firmware,4952,7,Sports
39,Dakota,2007,19688,46757,Yes,Total,Vision-oriented encompassing core,1985,9,Family
40,M3,1999,43785,37713,3 Year,fault-tolerant,Front-line radical ability,4731,8,Sports
41,Civic,1988,60319,71127,3 Year,projection,Profound national customer loyalty,2271,3,Sedan
42,Compass,2011,46221,7118,10 Year,initiative,Triple-buffered holistic application,4434,8,Sports
43,Neon,1995,77202,25172,5 Year,Advanced,Visionary exuding parallelism,1541,10,SUV
44,Tribute,2006,33472,84500,10 Year,Reactive,Down-sized eco-centric architecture,977,4,Sports
45,Jetta,1999,31415,93618,10 Year,User-friendly,Focused multimedia pricing structure,4952,5,Family
46,Lancer,2004,77793,27866,10 Year,Virtual,Triple-buffered systematic core,484,4,Luxury
47,Canyon,2009,52522,48210,3 Year,artificial intelligence,Programmable hybrid productivity,4789,2,Family
48,M,2009,51840,64305,5 Year,time-frame,Progressive asymmetric orchestration,4102,8,SUV
49,Range Rover,2012,58619,6600,5 Year,Proactive,Optional web-enabled strategy,4532,4,Luxury
50,H1,1997,86993,95075,Yes,encryption,Customizable systematic focus group,4851,10,Sports
51,Boxster,2000,37217,28524,No,model,Horizontal grid-enabled artificial intelligence,3839,2,SUV
52,Sonata,2005,99166,53410,10 Year,parallelism,Realigned 6th generation system engine,2758,2,Family
53,3500,1995,83589,47038,5 Year,Vision-oriented,Enterprise-wide zero administration flexibility,1464,3,Family
54,Ram 2500,2006,35800,41634,10 Year,analyzer,Organic context-sensitive firmware,3458,10,Sports
55,Mariner,2006,78316,10211,10 Year,service-desk,Future-proofed eco-centric matrix,95,5,Family
56,Diablo,1997,79254,75212,No,task-force,Cloned non-volatile intranet,4268,2,SUV
57,5000CS Quattro,1986,47542,41794,10 Year,Cloned,Synchronised value-added artificial intelligence,792,8,Luxury
58,Dakota,2008,87645,82882,10 Year,Inverse,Visionary mission-critical moratorium,839,8,Family
59,MKS,2010,44738,68526,No,explicit,User-centric non-volatile collaboration,1013,1,Sports
60,Accord,2008,65427,32057,5 Year,system engine,Networked logistical workforce,3494,4,Sedan
61,Sierra,2010,65356,86747,5 Year,zero defect,Decentralized radical paradigm,4486,10,SUV
62,Grand Prix,1974,56938,50631,No,bi-directional,Proactive uniform structure,849,2,Sedan
63,Vibe,2006,28765,96284,5 Year,Versatile,Visionary full-range attitude,4587,4,Family
64,F250,1998,23133,69596,10 Year,24 hour,Synchronised tertiary protocol,3059,3,SUV
65,riolet,1993,12357,11318,Yes,Multi-layered,Balanced national knowledge base,3718,10,SUV
66,LX,2007,40579,92061,10 Year,methodology,Multi-layered 5th generation system engine,3130,10,Sedan
67,911,1988,39547,67435,Yes,fault-tolerant,Horizontal uniform strategy,4639,9,Sedan
68,Genesis,2011,43489,50142,10 Year,zero tolerance,Adaptive hybrid capability,1080,7,Sports
69,Santa Fe,2005,39399,72687,Yes,Re-contextualized,Proactive grid-enabled application,421,6,Family
70,Murciélago,2007,42088,20756,No,Future-proofed,Optional heuristic benchmark,558,1,Sedan
71,Silverado 3500,2010,75462,54025,5 Year,Multi-layered,Decentralized human-resource projection,2238,4,SUV
72,Town & Country,1995,91717,96775,10 Year,conglomeration,Up-sized holistic data-warehouse,1105,9,Family
